name,price,last_volume,last_price,mean_price,mean_volume,abs_vol
StatTrak™ AWP | Neo-Noir (Field-Tested),215.61324399260627,3884,-0.018943092641837276,-0.07521221863919894,0.07429171574575302,0.07429171574575302
AWP | Fever Dream (Battle-Scarred),39.89508333333333,14250,0.2988064970775071,0.1072625948745357,0.0945857082582523,0.0945857082582523
StatTrak™ SCAR-20 | Crimson Web (Field-Tested),26.046544412607446,1130,0.32686008749035766,0.31751994231334124,-0.2531704289720082,0.2531704289720082
G3SG1 | Dream Glade (Well-Worn),1.2559722792607804,111644,0.022270125590509407,0.022270125590509407,-0.14267723307531638,0.14267723307531638
AWP | Capillary (Battle-Scarred),0.8074159292035398,107668,-0.09353891768744885,-0.042919204895303466,-0.14286411286736936,0.14286411286736936
SSG 08 | Blue Spruce (Minimal Wear),0.04585349065880039,287461,-0.48453835688003494,-0.04031677585811458,0.02182149008152901,0.02182149008152901
G3SG1 | Safari Mesh (Minimal Wear),11.790801843317974,447,1.39871381385067,0.5503855710465673,-0.2704040500088045,0.2704040500088045
StatTrak™ G3SG1 | Scavenger (Field-Tested),4.207810298102981,11450,0.04769219878315916,-0.024386318443474234,-0.07317153003971878,0.07317153003971878
StatTrak™ SSG 08 | Slashed (Well-Worn),8.861765494137353,6039,0.3625818160740464,0.24965866865510547,-0.27164795025224525,0.27164795025224525
Souvenir AWP | Pink DDPAT (Field-Tested),91.91765961945032,2045,-0.28335780141232,-0.08206808887568814,0.5251977103784176,0.5251977103784176
StatTrak™ SSG 08 | Mainframe 001 (Factory New),6.684948228882834,10488,-0.3247499011225356,-0.23858580805862753,0.14261042915563593,0.14261042915563593
G3SG1 | Azure Zebra (Minimal Wear),7.98261214953271,2206,0.6063754528209959,0.2869127819652932,-0.23922174688204714,0.23922174688204714
StatTrak™ AWP | Atheris (Battle-Scarred),25.343927374301675,10722,0.03457049924263874,-0.035911394438270614,-0.046714146726770774,0.046714146726770774
StatTrak™ AWP | Exoskeleton (Field-Tested),25.311736714975847,15186,0.12092079760933203,0.266692479815207,-0.38893963901441037,0.38893963901441037
StatTrak™ SSG 08 | Fever Dream (Factory New),35.41070052539405,4823,0.1072084284977422,0.03594668844782087,-0.05548528351710402,0.05548528351710402
SCAR-20 | Cyrex (Field-Tested),174.5645213675214,1016,0.18383880256132387,0.4117083003612023,-0.2957906007167652,0.2957906007167652
G3SG1 | Digital Mesh (Battle-Scarred),2.625371040723982,4541,1.5798178192309857,1.379350176663447,-0.5061068494333163,0.5061068494333163
SCAR-20 | Crimson Web (Field-Tested),21.231752100840335,4540,0.79502289454243,0.4448347514267083,-0.22404995849083942,0.22404995849083942
AWP | Sun in Leo (Factory New),166.30725525525526,7424,0.4262227828270191,0.30524847495999347,-0.28694122954610557,0.28694122954610557
StatTrak™ G3SG1 | Scavenger (Minimal Wear),7.243303822937626,4854,0.11049146861191948,-0.034764433052436594,-0.09750110309582499,0.09750110309582499
AWP | Redline (Field-Tested),214.06443543956047,10559,0.19626861436657386,0.2475404920839749,-0.3154335354500128,0.3154335354500128
StatTrak™ AWP | Oni Taiji (Battle-Scarred),1139.8215,6,0.053090200213943166,0.26857283044973795,0.41837231968810923,0.41837231968810923
StatTrak™ SCAR-20 | Powercore (Minimal Wear),6.3707044917257685,2652,0.22382718341662447,0.03518847565050719,-0.08925199110590643,0.08925199110590643
Souvenir SSG 08 | Death Strike (Battle-Scarred),342.622125,209,0.37271842410943823,0.2622164067640393,-0.1872454420801381,0.1872454420801381
Souvenir SSG 08 | Hand Brake (Battle-Scarred),6.338735602094241,1436,-0.11140050998202246,-0.09447081089806322,0.2229873226091082,0.2229873226091082
Souvenir SSG 08 | Detour (Well-Worn),16.42650819672131,601,-0.022431766921153225,-0.13624384565550263,0.4625773094414416,0.4625773094414416
G3SG1 | Jungle Dashed (Well-Worn),0.4534556962025316,120171,1.4268879179155713,0.6292903030573735,0.05183113257746544,0.05183113257746544
SCAR-20 | Assault (Factory New),1.1933614864864865,13694,0.14870366456807288,0.10357317412092865,-0.2624522760444076,0.2624522760444076
Souvenir SSG 08 | Blue Spruce (Well-Worn),86.0281111111111,19,0.23310740788643444,0.4190866370525456,-0.1337493711624543,0.1337493711624543
Souvenir SSG 08 | Acid Fade (Factory New),1115.3815555555557,9,0.054761647673639925,0.3542984329847805,-0.12579152873270522,0.12579152873270522
StatTrak™ G3SG1 | Dream Glade (Field-Tested),2.0222218350754932,33172,-0.038767815540767955,-0.038767815540767955,-0.10295032315638605,0.10295032315638605
G3SG1 | Keeping Tabs (Minimal Wear),3.937348583877996,3826,0.7956162421665716,1.1959493609055194,-0.7733617609693136,0.7733617609693136
Souvenir G3SG1 | Desert Storm (Factory New),62.88248484848484,37,0.4038972418873818,0.10527624177037952,-0.12061579123611045,0.12061579123611045
Souvenir G3SG1 | VariCamo (Factory New),0.0,0,-1.0,0.6997101843102866,-0.06650047483380817,0.06650047483380817
AWP | BOOM (Field-Tested),413.61645663265307,1455,0.22075161432542426,0.3301741353320069,-0.25303620732945287,0.25303620732945287
SSG 08 | Orange Filigree (Minimal Wear),118.25962576687117,232,0.36002478792436227,0.3085263786961055,-0.4359797701186898,0.4359797701186898
SSG 08 | Abyss (Battle-Scarred),0.5481596194503171,35766,-0.23674453494203143,0.11035114286942405,-0.08465320260340306,0.08465320260340306
Souvenir SSG 08 | Carbon Fiber (Minimal Wear),5.002171322160149,4166,-0.3665820050032336,-0.14483810014306403,0.24252256523730276,0.24252256523730276
StatTrak™ SSG 08 | Dragonfire (Factory New),386.7190161290323,614,0.10931666402566378,0.03703198823331536,0.0192718778627924,0.0192718778627924
AWP | Acheron (Factory New),7.939216733870968,44878,-0.44526012367340545,-0.24405957587099064,0.26158530655427337,0.26158530655427337
StatTrak™ AWP | BOOM (Factory New),3089.474888888889,9,0.29123129544167575,0.18151699455890155,-0.13926171740887025,0.13926171740887025
SSG 08 | Tropical Storm (Battle-Scarred),41.69068571428571,138,0.943082987667089,0.544411940358563,-0.2232587651539854,0.2232587651539854
SSG 08 | Death's Head (Battle-Scarred),28.462158536585363,538,0.15559196597354386,0.37589390220537006,-0.0022182511016271,0.0022182511016271
G3SG1 | New Roots (Battle-Scarred),92.13585714285715,50,0.819136028308369,2.0141637488455717,-0.8138464080540319,0.8138464080540319
StatTrak™ AWP | Phobos (Field-Tested),15.537343863912515,15097,-0.04796118632821328,-0.09259884268794827,-0.031727783198589335,0.031727783198589335
StatTrak™ AWP | Neo-Noir (Battle-Scarred),195.65010185185184,697,0.028976977642073347,-0.03122018347388793,0.3154329678844765,0.3154329678844765
AWP | Acheron (Well-Worn),3.1953021739130434,27123,-0.5079193398288431,-0.25635847196540534,0.528039662915339,0.528039662915339
StatTrak™ G3SG1 | Digital Mesh (Battle-Scarred),1.7612291666666668,1158,0.22499687900872237,0.6932490310989988,-0.49459537030409995,0.49459537030409995
Souvenir SSG 08 | Prey (Well-Worn),0.1280219638242894,24111,-0.3142049577195117,0.02760891273120808,-0.12425482136452287,0.12425482136452287
G3SG1 | Stinger (Battle-Scarred),2.682533195020747,5097,0.8259142697506937,0.38534901305609726,-0.06869008439447763,0.06869008439447763
AWP | Safari Mesh (Minimal Wear),0.3949351669941061,250339,-0.5383464020725421,-0.1429421977427157,-0.0375864331196731,0.0375864331196731
Souvenir AWP | Acheron (Minimal Wear),49.36428831168831,1312,-0.3040782071878168,-0.18138537580618422,0.9758029821425662,0.9758029821425662
SCAR-20 | Cyrex (Battle-Scarred),134.72088095238098,158,0.16732762084840275,0.38718038267147686,-0.20517265764914105,0.20517265764914105
Souvenir SCAR-20 | Sand Mesh (Factory New),29.78553846153846,45,0.23165765931818758,0.14589458520541942,-0.01876366189480884,0.01876366189480884
AWP | Capillary (Minimal Wear),2.2385216110019646,262471,0.10602037798967846,0.03883723118547611,-0.15069904465050302,0.15069904465050302
StatTrak™ AWP | Atheris (Well-Worn),26.667672941176473,16853,0.02620959436689277,-0.0444940263445596,-0.04768920906980114,0.04768920906980114
StatTrak™ AWP | Phobos (Minimal Wear),17.445598014888336,13930,-0.049212678396949185,-0.09341790919148248,-0.06847450094991855,0.06847450094991855
StatTrak™ G3SG1 | Dream Glade (Battle-Scarred),1.7059983739837399,17884,-0.3851602525516085,-0.3851602525516085,-0.1749400258350249,0.1749400258350249
SCAR-20 | Green Marine (Field-Tested),0.8227564102564103,20215,0.4348939726290553,0.17322098607930825,-0.12564570356929045,0.12564570356929045
SCAR-20 | Poultrygeist (Field-Tested),0.24268498527968596,415260,-0.1594786868675893,-0.1594786868675893,-0.14517563361494,0.14517563361494
StatTrak™ AWP | Fever Dream (Field-Tested),79.56175,5471,0.1885148994099875,0.004061592136836874,-0.02340381173479672,0.02340381173479672
SSG 08 | Dragonfire (Battle-Scarred),47.45394871794871,4581,0.025531171205849287,0.037954137783104185,0.31478299256279313,0.31478299256279313
StatTrak™ G3SG1 | Keeping Tabs (Battle-Scarred),2.0563408360128617,1073,0.6987782637162469,0.814483516815944,-0.6590418031851598,0.6590418031851598
SSG 08 | Sand Dune (Factory New),328.73801587301585,73,0.9711872328750001,0.6030297952597642,-0.2725760468392067,0.2725760468392067
SCAR-20 | Storm (Field-Tested),12.938294921875,4436,1.0151258457848036,0.6628863557379849,-0.2914225580459606,0.2914225580459606
G3SG1 | Green Apple (Factory New),0.652,291169,-0.34140138317332835,0.15563461686142022,0.05676896155623648,0.05676896155623648
StatTrak™ AWP | Hyper Beast (Field-Tested),306.69637866666665,952,-0.035009753850566316,0.013018036231197938,-0.16653729254712007,0.16653729254712007
SSG 08 | Prey (Minimal Wear),2.3853027210884354,14399,2.468156061446237,2.1713676219288893,-0.6405699379030254,0.6405699379030254
G3SG1 | Stinger (Minimal Wear),3.0830688622754487,13360,0.036537581281071436,0.1860349167338151,-0.14237909295254092,0.14237909295254092
StatTrak™ AWP | PAW (Field-Tested),17.261523059617545,19910,-0.11721364633452237,-0.11162861491397566,0.00024100905452368871,0.00024100905452368871
G3SG1 | Flux (Battle-Scarred),28.601694989106754,3007,0.3237348070553035,0.17857923919898483,-0.07903608237948515,0.07903608237948515
SSG 08 | Dark Water (Field-Tested),9.085162921348314,6498,0.47688724381920383,0.40142397562446663,-0.23828364099107724,0.23828364099107724
StatTrak™ G3SG1 | Orange Crash (Minimal Wear),2.83596768707483,6904,0.9935870411365948,0.13745027447741484,-0.07042706176994494,0.07042706176994494
StatTrak™ AWP | PAW (Battle-Scarred),21.27934382566586,1599,-0.23617500689133678,-0.08300151314804863,0.018647916749863328,0.018647916749863328
SSG 08 | Orange Filigree (Field-Tested),113.5294566929134,175,0.37095247505866047,0.31107270071835486,-0.4423623600446427,0.4423623600446427
StatTrak™ AWP | Wildfire (Minimal Wear),774.7529108280254,623,-0.05748540939713837,-0.006322879671122803,-0.1631508084435266,0.1631508084435266
Souvenir AWP | Desert Hydra (Well-Worn),6516.936545454545,11,-0.025703593953176174,-0.015350009919134336,0.3083333333333333,0.3083333333333333
Souvenir SSG 08 | Jungle Dashed (Well-Worn),0.31984418901660283,13814,-0.022628392821358295,0.05961317938635161,-0.16114054969296593,0.16114054969296593
